dept,name,street,postalCode,city,lat,lon
01,Centre d'incendie et de secours d'Ambérieu-en-Bugey,23 Rue du Professeur Luc Montagnier,01500,Ambérieu-en-Bugey,45.982183,5.351847
01,Centre d'incendie et de secours d'Ambérieux-en-Dombes,2bis Route du Gouverneur,01330,Ambérieux-en-Dombes,45.995827,4.904932
01,Ambronay,3 Chemin des Maladières,01500,Ambronay,46.006002,5.358523
01,,20 Place de la Mairie,01110,Aranc,46.003248,5.508286
01,Centre de Première Intervention d'Ars-sur-Formans,521 Chemin du Bois de la Dame,01480,Ars-sur-Formans,45.990673,4.817511
01,Centre d'incendie et de secours d'Artemare,3 Chemin de Tornaval,01510,Artemare,45.866042,5.688176
01,CIS de Balan,18 Lotissement Parc des Chenes,01360,Balan,45.836706,5.094600
01,Caserne de Pompiers de Beaupont,66 Route du Souget,01270,Beaupont,46.409691,5.258995
01,Centre d'incendie et de secours de Belley,253 Che du Commun,01300,Belley,45.756871,5.704059
01,,101 Route de la Fauconniere,01130,Belleydoux,46.255169,5.779944
01,Pompiers de Beynost,70 Avenue du Mont,01700,Beynost,45.840278,5.000833
01,Centre de secours principal de Bourg-en-Bresse,200 avenue capitaine dhonne,01000,Bourg-en-Bresse,46.218473,5.244059
01,Centre d'incendie et de secours de Brégnier-Cordon,146 Rue Espace Rhône,01300,Brégnier-Cordon,45.640625,5.624543
01,,239 Route de Montrevel,01340,Bresse Vallons,46.333571,5.183157
01,,680 Grande Rue,01360,Bressolles,45.867940,5.097201
01,CPI Cessy,475 Rue de la Mairie,01170,Cessy,46.315464,6.069232
01,,1 Rue Jean Quatre,01250,Ceyzériat,46.178652,5.322506
01,Centre d'incendie et de secours de Chalamont,5 Zone Artisanale le Creuzat,01320,Chalamont,46.003751,5.172512
01,Caserne des pompiers,169 Rue Neuve,01410,Champfromier,46.193231,5.817294
01,,Route de Bocconod,01420,Chanay,46.005285,5.783027
01,Caserne de pompiers,10 Rue de l'Eglise,01130,Charix,46.183096,5.686018
01,Centre de première intervention de Charnoz-sur-Ain,40 Rue de Monétroi,01800,Charnoz-sur-Ain,45.867423,5.221770
01,Centre d'incendie et de secours de Châtillon-sur-Chalaronne,246 Avenue Jean Jaurès,01400,Châtillon-sur-Chalaronne,46.116555,4.962733
01,CPI Chevry,6 Route de Flies,01170,Chevry,46.279379,6.035800
01,Centre d'incendie et de secours de Chézery-Forens,152 Route de Confort,01410,Chézery-Forens,46.220551,5.866134
01,Sapeurs Pompiers,337 Route de Lyon,01390,Civrieux,45.918951,4.883870
01,Centre d'incendie et de secours de Coligny,230 Rte du Revermont,01270,Coligny,46.378880,5.345109
01,Centre d'incendie et de secours de Collonges,157 Rue de la Bière,01550,Collonges,46.138103,5.905847
01,,105 Impasse des Ravens,01300,Contrevoz,45.804313,5.629975
01,Centre d'incendie et de secours de Cormoranche-sur-Saône,Rue de la Caserne,01290,Cormoranche-sur-Saône,46.242345,4.829708
01,Centre d'incendie et de secours de Corveissiat,722 Rue de Chanoz,01250,Corveissiat,46.239259,5.474258
01,CPI Crozet,55 Impasse du Mont-blanc,01170,Crozet,46.282081,6.015798
01,Centre d'incendie et de secours de Culoz,104 Rue Claudius Richard,01350,Culoz-Béon,45.846713,5.787681
01,Centre d'incendie et de secours de Dorlan,3 Rue du 21 Juillet 1944,01590,Dortan,46.320847,5.656432
01,CPI Echenevex,10c Chemin du Couilloux,01170,Échenevex,46.306236,6.034266
01,Centre de Première Intervention de Fareins,42 Chemin des Granges,01480,Fareins,46.017601,4.766956
01,Centre d'incendie et de secours de Feillens,380 Grande Rue,01570,Feillens,46.332306,4.886611
01,Centre d'incendie et de secours de Gex-Divonne,39 rue chardenie,01170,Gex,46.339623,6.077491
01,Centre d'incendie et de secours de Grièges,96 Impasse des Platanes,01290,Grièges,46.255553,4.849607
01,CPINI Grily,117 Chemin Jacques Belay,01220,Grilly,46.332339,6.114455
01,,122 Route de la Sauge,01300,Groslée-Saint-Benoit,45.693958,5.585883
01,Centre d'incendie et de secours du Petit-Abergement,15 Voie Romaine,01260,Haut Valromey,46.034000,5.662058
01,Centre d'incendie et de secours d'Izernore,76 Rue de la Courbe,01580,Izernore,46.217652,5.552134
01,Centre d'incendie et de secours de Jassans-Riottier,364 Rue du Marmont,01480,Jassans-Riottier,45.987333,4.761705
01,Centre d'incendie et de secours de Jasseron,56 Rue Julien Manissier,01250,Jasseron,46.211651,5.324648
01,Centre d'incendie et de secours de Jujurieux,410 Route de Neuville,01640,Jujurieux,46.038694,5.399901
01,,59 Rue de Munetville,01400,L'Abergement-Clémenciat,46.150916,4.921134
01,Centre d'incendie et de secours de Lagnieu,350 Allée Guy de la Verpilliere,01150,Lagnieu,45.897547,5.352225
01,La batteuse,63 Route du Plateau,01130,Le Poizat-Lalleyriat,46.157531,5.717308
01,CPI Léaz,29 Route de Genève,01200,Léaz,46.099318,5.880085
01,,64 Place de l’Église,01150,Leyment,45.923589,5.296400
01,Centre d'incendie et de secours de Lhuis,502 Route du Pont de Groslee,01680,Lhuis,45.741314,5.536860
01,Centre d'incendie et de secours de Plaine-de-l'Ain,34 Rue de l'Industrie,01360,Loyettes,45.795302,5.211312
01,,161 Chemin des Carrons,01570,Manziat,46.353097,4.902264
01,Centre d'incendie et de secours de Marboz,241 Route des Granges,01851,Marboz,46.342872,5.253819
01,Centre d'incendie et de secours de Meximieux-Pérouges,20a Avenue du Docteur Boyer,01800,Meximieux,45.906190,5.195434
01,Centre d'incendie et de secours de Lelex,5420 Route de la Vallée,01170,Mijoux,46.322660,5.954936
01,,Route de Strasbourg,01700,Miribel,45.871386,4.911947
01,Centre d'incendie et de secours de Miribel,1920 Grande Rue,01700,Miribel,45.825776,4.964340
01,Centre d'incendie et de secours de Montagnat,2122 Route du Village,01250,Montagnat,46.172183,5.289659
01,Centre d'incendie et de secours de Montagnieu,78 Chemin Derriere les Granges,01470,Montagnieu,45.797392,5.456018
01,Centre d'incendie et de secours de Montmerle-sur-Saône,34bis Chemin des Mûriers,01090,Montmerle-sur-Saône,46.074938,4.763966
01,Centre d'incendie et de secours de Montréal-la-Cluse,2 Avenue Francois Prosper de Douglas,01460,Montréal-la-Cluse,46.184592,5.576093
01,Centre d'incendie et de secours de Nantua-Montréal,4 Impasse des Cléselles,01460,Montréal-la-Cluse,46.182523,5.578373
01,Centre d'incendie et de secours de Montrevel-en-Bresse,112 Route de Cuet,01340,Montrevel-en-Bresse,46.331052,5.118504
01,Centre d'incendie et de secours de Nantua,15 Rue du Docteur Levrat,01130,Nantua,46.153299,5.602082
01,Centre d'incendie et de secours de Neuville-les-Dames,57 Allee Henri Martin,01400,Neuville-les-Dames,46.159693,5.005725
01,,17 Rue du Revermont,01160,Neuville-sur-Ain,46.081698,5.371230
01,Centre d'incendie et de secours de Montluel,1115 ZA les Cedres Bleus,01120,Niévroz,45.837629,5.050645
01,CPI Ornex,45 Rue de Bejoud,01210,Ornex,46.276271,6.093231
01,Centre d'incendie et de secours d'Oyonnax,35a Route de Marchon,01100,Oyonnax,46.268034,5.662990
01,,119 Rue du Bugey,01300,Parves et Nattages,45.741808,5.742262
01,Centre d'incendie et de secours de Seillon,155 Allée du Thioudet,01960,Péronnas,46.170761,5.195035
01,Centre d'incendie et de secours de Pirajoux,75 rue du village,01270,Pirajoux,46.371572,5.299306
01,,50 Rue du Hangar,01110,Plateau d'Hauteville,45.953262,5.609957
01,Centre d'incendie et de secours d'Hauteville-Lompnes,170 Avenue de Bourg,01110,Plateau d'Hauteville,45.981272,5.596246
01,Centre d'incendie et de secours de Trois Logis,168 Rue de Presle,01310,Polliat,46.249853,5.111556
01,Centre d'incendie et de secours de Poncin,25 Avenue de la première Armee Française Rhin et Danube,01450,Poncin,46.080944,5.413153
01,Centre d'incendie et de secours de Pont-d'Ain,ZI Sud,01160,Pont-d'Ain,46.046503,5.326208
01,Centre d'incendie et de secours de Pont-de-Vaux,65 Place Docteur Eugene Pillard,01190,Pont-de-Vaux,46.433943,4.939987
01,Centre d'incendie et de secours de Pont-de-Veyle,25 Avenue des Sports,01290,Pont-de-Veyle,46.263528,4.883576
01,Centre d'incendie et de secours Est-Gessien,199 Route du Nant,01280,Prévessin-Moëns,46.248814,6.085740
01,Centre d'incendie et de secours de Saint-André-de-Corcy,772 Rue de l'Industrie,01390,Saint-André-de-Corcy,45.935108,4.960702
01,Centre d'incendie et de secours de Saint-Cyr-sur-Menthon,254 Route des Communaux,01380,Saint-Cyr-sur-Menthon,46.275089,4.959771
01,CPI Saint-Genis-Pouilly,196 Rue du Mont Blanc,01630,Saint-Genis-Pouilly,46.255772,6.029203
01,CPI Saint-Jean-de-Gonville,300 Chemin de Grand Champ,01630,Saint-Jean-de-Gonville,46.208626,5.953458
01,Centre d'incendie et de secours de Saint-Jean-sur-Veyle,52 Rue du Vieux Puits,01290,Saint-Jean-sur-Veyle,46.257283,4.915555
01,,6 Rue de la Fromagerie,01430,Saint-Martin-du-Frêne,46.139505,5.554081
01,Pompiers de Saint-Maurice-de-Beynost,9 Rue des Hirondelles,01700,Saint-Maurice-de-Beynost,45.828972,4.982822
01,CIS de Saint-Maurice-de-Remens,15 Rue de la Laiterie,01500,Saint-Maurice-de-Rémens,45.959286,5.277138
01,Centre d'incendie et de secours de Saint-Nizier-le-Bouchoux,290 Route de Saint Trivier,01560,Saint-Nizier-le-Bouchoux,46.460615,5.149378
01,Centre d'incendie et de secours de Saint-Paul-de-Varax,672 Route des Etangs,01240,Saint-Paul-de-Varax,46.092598,5.129069
01,Centre d'incendie et de secours de l'Albarine,6 RD n°34,01230,Saint-Rambert-en-Bugey,45.950645,5.461893
01,Centre d'incendie et de secours de Saint-Trivier-de-Courtes,47 Rue de la Republique,01560,Saint-Trivier-de-Courtes,46.459026,5.080826
01,Centre d'incendie et de secours de Saint-Trivier-sur-Moignans,350 route de Chatillon,01990,Saint-Trivier-sur-Moignans,46.075277,4.900584
01,Sapeurs-Pompiers Sainte-Julie,44 Route de la Chapelle,01150,Sainte-Julie,45.890712,5.276897
01,CPI Sault-Brénaz,27bis Grande Rue,01150,Sault-Brénaz,45.857337,5.405172
01,CPINI Sauverny,86 Route de l'Eglise,01220,Sauverny,46.312239,6.117626
01,Sapeurs Pompiers,58 Impasse des Pompiers,01480,Savigneux,46.000267,4.845942
01,CPI Ségny,400 Route Blanche,01170,Ségny,46.297863,6.071211
01,CPI Sergy,428 Rue des Prêles,01630,Sergy,46.250358,5.995259
01,Centre d'incendie et de secours de Seyssel,176 Rue de Cabaret,01420,Seyssel,45.954896,5.829298
01,CPI Souclin,3 Place de la Mairie,01150,Souclin,45.876561,5.416594
01,,340 Rue de la Mairie,01120,Thil,45.814046,5.021050
01,Centre d'incendie et de secours de Thoiry,155 Rue du Creux,01710,Thoiry,46.231151,5.985134
01,Centre d'incendie et de secours de Thoissey,12 Rue de l'Arquebuse,01140,Thoissey,46.169979,4.801731
01,Centre d'incendie et de secours de Tossiat,218 Route de Journans,01250,Tossiat,46.142128,5.320302
01,Centre d'incendie et de secours de Trévoux,89 Route de Lyon,01600,Trévoux,45.937162,4.787545
01,Centre d'incendie et de secours de Treffort-Cuisiat,152 Chemin du Monetay,01370,Val-Revermont,46.273618,5.358032
01,Centre d'incendie et de secours de Bellegarde-sur-Valserine,Allee Saint Christophe,01200,Valserhône,46.114249,5.808735
01,CPI Versonnex,21 Chemin des Buissons,01210,Versonnex,46.301790,6.101130
01,CPI Vesancy,27 Impasse Vie Quinat,01170,Vesancy,46.348633,6.089317
01,Centre d'incendie et de secours de Villars-les-Dombes,465 Rue de Dombes,01330,Villars-les-Dombes,46.000495,5.027490
01,Centre d'incendie et de secours du Suran,231 Route de Noblens,01250,Villereversure,46.173817,5.392777
01,Centre d'incendie et de secours de Vonnas,639 Route de Luponnas,01540,Vonnas,46.227398,4.984595
02,Centre d'incendie et de secours d'Anizy-le-Château,4 Route de l’Ocq,02320,Anizy-le-Grand,49.503956,3.439117
02,Centre d'incendie et de secours d'Aubenton,1 Impasse du Bois Millet,02500,Aubenton,49.838139,4.208536
02,Centre d'incendie et de secours de Barenton,14bis Rue de la Place,02000,Barenton-Bugny,49.634301,3.650457
02,Centre d'incendie et de secours de Beaurevoir,1 Rue de la Tour,02110,Beaurevoir,49.996452,3.307206
02,Centre d'incendie et de secours de Beaurieux,6 Rue de la Voie Menseuse,02160,Beaurieux,49.383777,3.738940
02,Centre d'incendie et de secours de Beautor,Rue de Liez,02800,Beautor,49.662638,3.343755
02,Centre d'incendie et de secours de Bohain,5 Rue Hennequin,02110,Bohain-en-Vermandois,49.983421,3.457699
02,Centre d'incendie et de secours de Braine,4 Route de Vieil-arcy,02220,Braine,49.343941,3.539618
02,Centre de secours principal de Château-Thierry,28 Route de Verdilly,02400,Brasles,49.053515,3.415765
